id;type;schema:name;schema:alternateName
https://ror.org/01f677e56;schema:ResearchOrganization;The Foundation for Industrial and Technical Research;SINTEF
https://ror.org/04qtj9h94;schema:CollegeOrUniversity;Technical University of Denmark;DTU
https://ror.org/048a87296;schema:CollegeOrUniversity;Uppsala University;UU
https://ror.org/04t3en479;schema:ResearchOrganization;Karlsruhe Institute of Technology;KIT
https://ror.org/02feahw73;schema:ResearchOrganization;French National Centre for Scientific Research;CNRS
https://ror.org/00pd74e08;schema:CollegeOrUniversity;Westphalian Wilhelm University of Munster;WWU
https://ror.org/00jjx8s55;schema:ResearchOrganization;French Alternative Energies and Atomic Energy Commission;CEA
https://ror.org/050mac570;schema:ResearchOrganization;National Institute of Chemistry;NIC
https://ror.org/00bgk9508;schema:CollegeOrUniversity;Polytechnic University of Turin;POLITO
https://ror.org/05hkkdn48;schema:ResearchOrganization;Fraunhofer Society;Fraunhofer
https://ror.org/040wg7k59;schema:CollegeOrUniversity;Chalmers University of Technology;Chalmers
https://ror.org/00y0xnp53;schema:CollegeOrUniversity;Warsaw University of Technology;WUT
https://ror.org/02gfc7t72;schema:ResearchOrganization;Spanish National Research Council;CSIC
https://ror.org/02e2c7k09;schema:CollegeOrUniversity;Delft University of Technology;TU Delft
https://ror.org/04zaypm56;schema:ResearchOrganization;National Research Council;CNR
https://ror.org/02s376052;schema:CollegeOrUniversity;Swiss Federal Institute of Technology Lausanne;EPFL
https://ror.org/013meh722;schema:CollegeOrUniversity;The Chancellor, Masters and Scholars of the University of Cambridge;[University of Cambridge, CU]
https://ror.org/052gg0110;schema:CollegeOrUniversity;The Chancellor, Masters and Scholars of the University of Oxford;[University of Oxford, Oxf]
https://ror.org/03z77qz90;schema:CollegeOrUniversity;University of Tartu;UT
https://ror.org/04xs57h96;schema:CollegeOrUniversity;The University of Liverpool;UOL
https://ror.org/02550n020;schema:ResearchOrganization;European Synchotron Radiation Facility;ESRF
https://ror.org/01xtjs520;schema:ResearchOrganization;Institut Laue?Langevin;ILL
https://ror.org/01ydb3330;schema:ResearchOrganization;French national synchrotron facility;SOLEIL
https://ror.org/03vgz7r63;schema:ResearchOrganization;CIDETEC Foundation;CIDETEC
https://www.linkedin.com/company/emiri;schema:Organization;Energy Materials Industrial Research Initiative;EMIRI
https://ror.org/00zwdnt53;schema:Corporation;Umicore N.V.;UMICORE
https://ror.org/01g8djv19;schema:Corporation;Solvay S.A.;Solvay
https://ror.org/01q8f6705;schema:Corporation;BASF SE;BASF
https://ror.org/01xwy3t39;schema:Corporation;Northvolt AB;Northvolt
https://ror.org/02s6k3f65;schema:CollegeOrUniversity;University of Basel;UNIBAS
https://ror.org/02309jg23;schema:CollegeOrUniversity;IT University of Copenhagen;ITU
https://ror.org/01mw2b749;schema:Corporation;Dassault Systemes Germany GmbH;3DS
https://ror.org/02nv7yv05;schema:ResearchOrganization;Research Centre Julich;FZJ
https://ror.org/04zyzzh22;schema:Corporation;Saft;Saft
https://ror.org/03dbr7087;schema:CollegeOrUniversity;University of Toronto;U of T
https://ror.org/03eh3y714;schema:ResearchOrganization;Paul Scherrer Institute;PSI
